Date,Close,High,Low,Open,Volume
2015-01-02,24.32043839,24.78980762,23.87998701,24.77868446,212818400
2015-01-05,23.63529015,24.16916998,23.44843314,24.08908792,257142000
2015-01-06,23.63750458,23.89777031,23.2749105,23.69979022,263188400
2015-01-07,23.96895599,24.06905768,23.73538312,23.84660798,160423600
2015-01-08,24.88990021,24.94773761,24.18028502,24.29818481,237458000
2015-01-09,24.91659546,25.19243266,24.51618525,25.0634114,214798000
2015-01-12,24.3026371,25.0545167,24.20253538,25.04784348,198603200
2015-01-13,24.51840973,25.09233044,24.22700112,24.7875737,268367600
2015-01-14,24.42498207,24.57847124,24.13579673,24.25591979,195826400
2015-01-15,23.76208878,24.48282569,23.72649769,24.46947924,240056000
2015-01-16,23.57745171,23.93114774,23.40171618,23.80879968,314053200
2015-01-20,24.18473816,24.2403506,23.69089942,23.98898128,199599600
2015-01-21,24.36936951,24.70526739,24.08463242,24.23589831,194303600
2015-01-22,25.00335503,25.01892644,24.40718956,24.52731264,215185600
2015-01-23,25.13236618,25.30365169,24.80981312,24.98110033,185859200
2015-01-26,25.15907097,25.43935818,25.09233705,25.3014387,222460000
2015-01-27,24.27816772,25.02115084,24.25369811,25.0078027,382274800
2015-01-28,25.65068626,26.27577137,25.65068626,26.16676974,585908400
2015-01-29,26.44927979,26.51379043,25.70629662,25.87535893,337745600
2015-01-30,26.06220818,26.69396452,25.99324761,26.33804533,334982000
2015-02-02,26.38921165,26.50933472,25.82196584,26.2601921,250956400
2015-02-03,26.3936615,26.49153823,26.16231357,26.3602937,207662800
2015-02-04,26.59609222,26.80742051,26.31803003,26.36029603,280598800
2015-02-05,26.78591728,26.8506825,26.63182067,26.8037822,168984800
2015-02-06,26.56035805,26.85515048,26.45316002,26.80378437,174826400
2015-02-09,26.73679161,26.76358984,26.44869868,26.47549862,155559200
2015-02-10,27.25044632,27.27948001,26.83505835,26.8372904,248034000
2015-02-11,27.88915825,27.89809156,27.35763902,27.41793674,294247200
2015-02-12,28.24201393,28.46980908,28.04325246,28.15268253,297898000
2015-02-13,28.38047791,28.42514275,28.0611193,28.42514275,217088800
2015-02-17,28.54797935,28.78247411,28.34475034,28.47204705,252609600
2015-02-18,28.74674034,28.76013946,28.46311322,28.50331227,179566800
2015-02-19,28.68644714,28.81597764,28.65964891,28.6931467,149449600
2015-02-20,28.92093086,28.92093086,28.59710645,28.72440144,195793600
2015-02-23,29.70258141,29.70258141,28.95666777,29.03706587,283896400
2015-02-24,29.51721764,29.83657798,29.29388997,29.6891809,276912400
2015-02-25,28.76237297,29.38992667,28.61944338,29.38099165,298846800
2015-02-26,29.12639427,29.22689104,28.2755164,28.76236908,365150000
2015-02-27,28.68867111,29.15989258,28.63953876,29.03259419,248059200
2015-03-02,28.82936478,29.09512522,28.65293744,28.86509802,192386800
2015-03-03,28.88967323,28.92540649,28.60604608,28.80034351,151265200
2015-03-04,28.70653725,28.93433242,28.65740829,28.8316036,126665200
2015-03-05,28.23085213,28.75343807,28.0856888,28.71547277,226068400
2015-03-06,28.27329063,28.8919077,28.19736002,28.67527953,291368400
2015-03-09,28.39387512,28.93656304,27.92935324,28.57700371,354114000
2015-03-10,27.80652428,28.41174196,27.64796186,28.23084712,275426400
2015-03-11,27.29957771,27.86459652,27.27054573,27.86013072,275756000
2015-03-12,27.79312515,27.89362362,27.16334125,27.31520412,193450800
2015-03-13,27.60106659,28.00529084,27.37550686,27.78196317,207309200
2015-03-16,27.90478897,27.90478897,27.44026876,27.66582846,143497200
2015-03-17,28.37155151,28.434083,28.06112614,28.11695807,204092400
2015-03-18,28.69090652,28.84500316,28.22191875,28.36261457,261083600
2015-03-19,28.47427368,28.86509705,28.45194126,28.75343323,183238000
2015-03-20,28.1169548,28.67527229,27.9516928,28.6417745,274780400
2015-03-23,28.40951729,28.55244688,28.25542063,28.38941861,150838800
2015-03-24,28.29338074,28.59487102,28.26434705,28.41397787,131369200
2015-03-25,27.5541687,28.32241647,27.5541687,28.25988499,206620800
2015-03-26,27.74622726,27.88915683,27.37997005,27.41570329,190291600
2015-03-27,27.52513504,27.84895948,27.44920445,27.81992749,158184800
2015-03-30,28.2219162,28.22861576,27.69262905,27.70379611,188398800
2015-03-31,27.78866196,28.24871641,27.77302909,28.159385,168362400
2015-04-01,27.74846649,27.9427622,27.4916393,27.87576321,162485600
2015-04-02,27.98742485,28.04102302,27.73506518,27.92265962,128880400
2015-04-06,28.44077873,28.47651198,27.76632991,27.79759565,148776000
2015-04-07,28.14152718,28.61274711,28.13482762,28.50555076,140049200
2015-04-08,28.04995728,28.22862011,27.90926145,28.1057892,149316800
2015-04-09,28.26435089,28.2688184,27.84002966,28.10578844,129936000
2015-04-10,28.38494682,28.409513,27.97402472,28.12811966,160752000
2015-04-13,28.32911873,28.71324435,28.27552056,28.66857609,145460400
2015-04-14,28.20628738,28.42738132,28.11918972,28.36261608,102098400
2015-04-15,28.3134861,28.39165046,28.14152452,28.23085594,115881600
2015-04-16,28.17725372,28.38494854,28.16385461,28.2018199,113476000
2015-04-17,27.8601265,28.17055182,27.79536127,28.03878931,207828000
2015-04-20,28.49660683,28.61273645,27.95392059,28.04325199,188217200
2015-04-21,28.34251595,28.63060715,28.28891608,28.60827642,129740400
2015-04-22,28.72440529,28.78023721,28.21075264,28.36038178,150618000
2015-04-23,28.95890236,29.12639813,28.61721125,28.6529445,183083600
2015-04-24,29.09512711,29.17329315,28.86063238,29.14202741,178103600
2015-04-27,29.62442017,29.73161992,29.28942859,29.54848956,387816800
2015-04-28,29.1576519,30.04649483,28.93655975,30.02863162,475696000
2015-04-29,28.7288723,29.38768827,28.65294171,29.06833132,253544400
2015-04-30,27.94946098,28.72887415,27.82216427,28.72887415,332781600
2015-05-01,28.79810333,29.06163176,27.98295867,28.16161979,234050400
2015-05-04,28.74226952,29.15989456,28.6440048,28.92093233,203953200
2015-05-05,28.09462166,28.68643862,28.09015415,28.61943964,197085600
2015-05-06,27.91819382,28.3067835,27.5497028,28.2643507,288564000
2015-05-07,28.09087181,28.27476536,27.81278755,27.98098293,175763600
2015-05-08,28.62012863,28.62012863,28.28149476,28.40932319,222201600
2015-05-11,28.32858849,28.60667105,28.17384818,28.56854717,168143200
2015-05-12,28.22767448,28.4541764,27.99220024,28.16712318,192640000
2015-05-13,28.25907516,28.52370271,28.22767882,28.29047151,138776800
2015-05-14,28.91839409,28.91839409,28.51696925,28.57303439,180814000
2015-05-15,28.87802315,29.03949097,28.75243783,28.94530198,152832000
2015-05-18,29.19647789,29.31533569,28.78608072,28.79056689,203531600
2015-05-19,29.1695652,29.35121566,29.07313141,29.30860562,178532800
2015-05-20,29.16732597,29.37364526,29.00585811,29.15387089,145819600
2015-05-21,29.46558762,29.51941137,29.11574178,29.16956553,158921600
2015-05-22,29.72348595,29.81991974,29.46782911,29.51268395,182384000
2015-05-26,29.0686512,29.80647032,28.95652093,29.7369501,282790400
2015-05-27,29.61136055,29.66069814,29.16508426,29.23011831,183332800
2015-05-28,29.55306053,29.59118442,29.40056497,29.57100179,122933200
2015-05-29,29.21665955,29.47904394,29.13143946,29.42970635,203538000
2015-06-01,29.27497292,29.46559577,29.16508743,29.2166664,128451200
2015-06-02,29.14490509,29.3018868,29.00137846,29.12247766,134670400
2015-06-03,29.18078232,29.36467762,29.13144472,29.30188493,123934000
2015-06-04,29.01034737,29.28394553,28.90943079,29.05968497,153800400
2015-06-05,28.85112,29.0843529,28.78608594,29.04174284,142507200
2015-06-08,28.66049576,28.97670392,28.44296278,28.90718028,210699200
2015-06-09,28.57527542,28.72328819,28.17160751,28.41380757,224301600
2015-06-10,28.90270042,29.00585836,28.67171062,28.68740879,156349200
2015-06-11,28.83766365,29.19423711,28.81299485,28.96997656,141563600
2015-06-12,28.51921272,28.77935577,28.50575764,28.74795943,147544800
2015-06-15,28.4631424,28.53490569,28.19178739,28.27924885,175955600
2015-06-16,28.61564064,28.67170577,28.33980117,28.48781222,125976400
2015-06-17,28.54836464,28.67843444,28.42277759,28.64255365,131672400
2015-06-18,28.67843246,28.77486455,28.53042142,28.53266451,141628800
2015-06-19,28.39138985,28.66498804,28.34653841,28.64031923,218867600
2015-06-22,28.6178875,28.71880406,28.49902969,28.59097562,136157200
2015-06-23,28.48781776,28.6178893,28.45417834,28.58873604,121075600
2015-06-24,28.73002052,29.10902142,28.50800305,28.52818568,221123600
2015-06-25,28.59321213,28.97445427,28.59321213,28.89820653,127752400
2015-06-26,28.42502594,28.70310855,28.37120388,28.63134524,176267200
2015-06-29,27.92716026,28.36222619,27.91594826,28.1357226,196645600
2015-06-30,28.12899971,28.28374003,28.00117127,28.16039605,177482800
2015-07-01,28.39138985,28.46763934,28.25459075,28.45866871,120955200
2015-07-02,28.35550117,28.41156631,28.20524532,28.35325809,108844000
2015-07-06,28.25682831,28.30840899,27.99892834,28.01911268,112241600
2015-07-07,28.18731308,28.29047274,27.75673146,28.23216451,187787200
2015-07-08,27.48760796,27.9518271,27.48088042,27.91594631,243046400
2015-07-09,26.92695999,27.82175897,26.7363389,27.77466447,314380000
2015-07-10,27.64683342,27.77466183,27.18261427,27.34632518,245418000
2015-07-13,28.18058395,28.20300967,27.8800739,28.0392987,165762000
2015-07-14,28.16936684,28.33980533,28.0415384,28.26579894,127072400
2015-07-15,28.44072151,28.5147279,28.16263892,28.19403526,134596800
2015-07-16,28.81972122,28.83317973,28.55957988,28.64704136,144889600
2015-07-17,29.0686512,29.0686512,28.77487043,28.94755201,184658800
2015-07-20,29.61808968,29.81992278,29.31085042,29.37140173,235600800
2015-07-21,29.32206726,29.80871225,29.22563687,29.79301579,307025600
2015-07-22,28.08190918,28.14470187,27.35754678,27.35754678,461802400
2015-07-23,28.06845093,28.50127214,28.0460235,28.30168039,203998000
2015-07-24,27.92043877,28.19852137,27.78588278,28.10433235,168649200
2015-07-27,27.5324688,27.72084856,27.3867008,27.60423211,177822000
2015-07-28,27.66926193,27.78812144,27.483127,27.66926193,134472400
2015-07-29,27.58180428,27.69617763,27.42033641,27.61768678,148046800
2015-07-30,27.44276619,27.48761762,27.29475339,27.43155248,134513200
2015-07-31,27.20280647,27.5033148,27.11534499,27.49434417,171540000
2015-08-03,26.56141853,27.48761393,26.35509754,27.24765523,279904000
2015-08-04,25.70922661,26.39546327,25.39750461,26.3326706,496554400
2015-08-05,25.87966728,26.337159,25.1396068,25.33022792,397250400
2015-08-06,25.93598938,26.24461769,25.70846217,26.12522185,211612000
2015-08-07,26.02383423,26.18828616,25.79405389,25.81207635,154681600
2015-08-10,26.96999741,27.03082107,26.25136763,26.25136763,219806400
2015-08-11,25.56652641,26.62306949,25.53048321,26.5397169,388331200
2015-08-12,25.96076965,26.00131935,24.69697291,25.35027275,404870000
2015-08-13,25.94049072,26.22208528,25.80307244,26.14098591,194143200
2015-08-14,26.12295532,26.20180143,25.68366864,25.75350352,171718000
2015-08-17,26.39328957,26.50367413,26.01933125,26.14098028,163538800
2015-08-18,26.24461174,26.45637139,26.13422716,26.22884251,138242800
2015-08-19,25.90895844,26.2491235,25.83461704,26.15450812,193146000
2015-08-20,25.37730217,25.76027009,25.14752005,25.69944642,274006400
2015-08-21,23.82514954,25.20834168,23.80036908,24.87718625,513102000
2015-08-24,23.2304287,24.50999462,20.72536252,21.37190434,648825200
2015-08-25,23.37009621,25.03037842,23.31603053,25.03037842,414406400
2015-08-26,24.71049309,24.75554754,23.66521393,24.12477487,387098400
2015-08-27,25.43812752,25.51021566,24.78482775,25.28268848,338464400
2015-08-28,25.52147293,25.52597769,25.12724063,25.26916364,212657600
2015-08-31,25.40207863,25.80081571,25.23086868,25.23762667,224917200
2015-09-01,24.26669121,25.20383694,24.18559184,24.81411106,307383600
2015-09-02,25.30746651,25.30746651,24.58433185,24.83213645,247555200
2015-09-03,24.86367035,25.40658369,24.78932898,25.34125355,212935600
2015-09-04,24.61586952,24.88169486,24.44466127,24.54828786,199985200
2015-09-08,25.30070686,25.35702577,24.85240882,25.17455305,219374400
2015-09-09,24.81411934,25.68593522,24.72851347,25.62736477,340043200
